date,value
"1941.01",7.5273E-15
"1941.02",7.5273E-15
"1941.03",7.5273E-15
"1941.04",7.5273E-15
"1941.05",7.4909E-15
"1941.06",7.4545E-15
"1941.07",7.4909E-15
"1941.08",7.4909E-15
"1941.09",7.4545E-15
"1941.10",7.4909E-15
"1941.11",7.4545E-15
"1941.12",7.4909E-15
"1942.01",7.4545E-15
"1942.02",7.4545E-15
"1942.03",7.4545E-15
"1942.04",7.4545E-15
"1942.05",7.3818E-15
"1942.06",7.4545E-15
"1942.07",7.4545E-15
"1942.08",7.4545E-15
"1942.09",7.4545E-15
"1942.10",7.4545E-15
"1942.11",7.4545E-15
"1942.12",7.4182E-15
"1943.01",7.4545E-15
"1943.02",7.4545E-15
"1943.03",7.4545E-15
"1943.04",7.4545E-15
"1943.05",7.4545E-15
"1943.06",7.4545E-15
"1943.07",7.4545E-15
"1943.08",7.4182E-15
"1943.09",7.3091E-15
"1943.10",7.3818E-15
"1943.11",7.3091E-15
"1943.12",7.3818E-15
"1944.01",7.3091E-15
"1944.02",7.3091E-15
"1944.03",7.3091E-15
"1944.04",7.3455E-15
"1944.05",7.3091E-15
"1944.06",7.3818E-15
"1944.07",7.3455E-15
"1944.08",7.3091E-15
"1944.09",7.2364E-15
"1944.10",7.2364E-15
"1944.11",7.2364E-15
"1944.12",7.2000E-15
"1945.01",7.2364E-15
"1945.02",7.2364E-15
"1945.03",7.2364E-15
"1945.04",7.2364E-15
"1945.05",7.2364E-15
"1945.06",7.2727E-15
"1945.07",7.2727E-15
"1945.08",7.2727E-15
"1945.09",7.2727E-15
"1945.10",7.2727E-15
"1945.11",7.2727E-15
"1945.12",7.2727E-15
"1946.01",7.2364E-15
"1946.02",7.2727E-15
"1946.03",7.3091E-15
"1946.04",7.3091E-15
"1946.05",7.3091E-15
"1946.06",7.3091E-15
"1946.07",7.2364E-15
"1946.08",7.2000E-15
"1946.09",6.8073E-15
"1946.10",6.8073E-15
"1946.11",6.8073E-15
"1946.12",6.8073E-15
"1947.01",6.8073E-15
"1947.02",6.8073E-15
"1947.03",6.8073E-15
"1947.04",6.8073E-15
"1947.05",6.8073E-15
"1947.06",6.8073E-15
"1947.07",6.8073E-15
"1947.08",6.8073E-15
"1947.09",6.8073E-15
"1947.10",6.8073E-15
"1947.11",6.8073E-15
"1947.12",6.8073E-15
"1948.01",6.8073E-15
"1948.02",6.8073E-15
"1948.03",6.8073E-15
"1948.04",6.8073E-15
"1948.05",6.8073E-15
"1948.06",6.8073E-15
"1948.07",6.8073E-15
"1948.08",6.8073E-15
"1948.09",6.8073E-15
"1948.10",6.8073E-15
"1948.11",6.8073E-15
"1948.12",6.8073E-15
"1949.01",6.8073E-15
"1949.02",6.8073E-15
"1949.03",6.8073E-15
"1949.04",6.8073E-15
"1949.05",6.8073E-15
"1949.06",6.8073E-15
"1949.07",6.8073E-15
"1949.08",6.8073E-15
"1949.09",6.8073E-15
"1949.10",6.8073E-15
"1949.11",6.8073E-15
"1949.12",6.8073E-15
"1950.01",6.8073E-15
"1950.02",6.8073E-15
"1950.03",6.8073E-15
"1950.04",6.8073E-15
"1950.05",6.8073E-15
"1950.06",6.8073E-15
"1950.07",6.8073E-15
"1950.08",6.8073E-15
"1950.09",6.8073E-15
"1950.10",6.8073E-15
"1950.11",6.8073E-15
"1950.12",6.8073E-15
"1951.01",6.8073E-15
"1951.02",6.8073E-15
"1951.03",6.8073E-15
"1951.04",6.8073E-15
"1951.05",6.8073E-15
"1951.06",6.8073E-15
"1951.07",6.8073E-15
"1951.08",6.8073E-15
"1951.09",6.8073E-15
"1951.10",6.8073E-15
"1951.11",6.8073E-15
"1951.12",6.8073E-15
"1952.01",6.8073E-15
"1952.02",6.8073E-15
"1952.03",6.8073E-15
"1952.04",6.8073E-15
"1952.05",6.8073E-15
"1952.06",6.8073E-15
"1952.07",6.8073E-15
"1952.08",6.8073E-15
"1952.09",6.8073E-15
"1952.10",6.8073E-15
"1952.11",6.8073E-15
"1952.12",6.8073E-15
"1953.01",6.8073E-15
"1953.02",1.3912E-14
"1953.03",1.3912E-14
"1953.04",1.5248E-14
"1953.05",1.4639E-14
"1953.06",1.6025E-14
"1953.07",1.6138E-14
"1953.08",1.4788E-14
"1953.09",1.3995E-14
"1953.10",1.3855E-14
"1953.11",1.4035E-14
"1953.12",1.9308E-14
"1954.01",2.0498E-14
"1954.02",1.9961E-14
"1954.03",2.1798E-14
"1954.04",2.1124E-14
"1954.05",1.8962E-14
"1954.06",2.0558E-14
"1954.07",2.0968E-14
"1954.08",2.1833E-14
"1954.09",2.2315E-14
"1954.10",2.3096E-14
"1954.11",2.3885E-14
"1954.12",2.5877E-14
"1955.01",2.6704E-14
"1955.02",2.6013E-14
"1955.03",2.6393E-14
"1955.04",2.7285E-14
"1955.05",2.7455E-14
"1955.06",2.7442E-14
"1955.07",2.6985E-14
"1955.08",2.5988E-14
"1955.09",2.5594E-14
"1955.10",2.4340E-14
"1955.11",2.3642E-14
"1955.12",2.3842E-14
"1956.01",2.4211E-14
"1956.02",2.5085E-14
"1956.03",2.4979E-14
"1956.04",2.5479E-14
"1956.05",2.6323E-14
"1956.06",2.8364E-14
"1956.07",2.8223E-14
"1956.08",2.6182E-14
"1956.09",2.6000E-14
"1956.10",2.4364E-14
"1956.11",2.4339E-14
"1956.12",2.3660E-14
"1957.01",2.3818E-14
"1957.02",2.3829E-14
"1957.03",2.4073E-14
"1957.04",2.3784E-14
"1957.05",2.4968E-14
"1957.06",2.6636E-14
"1957.07",2.5850E-14
"1957.08",2.6924E-14
"1957.09",2.8764E-14
"1957.10",2.9912E-14
"1957.11",3.1451E-14
"1957.12",3.3898E-14
"1958.01",3.3772E-14
"1958.02",3.6207E-14
"1958.03",3.7534E-14
"1958.04",4.1139E-14
"1958.05",4.7428E-14
"1958.06",4.7648E-14
"1958.07",4.8965E-14
"1958.08",5.0520E-14
"1958.09",5.7315E-14
"1958.10",5.3370E-14
"1958.11",5.1594E-14
"1958.12",5.0262E-14
"1959.01",5.2719E-14
"1959.02",5.1757E-14
"1959.03",5.0935E-14
"1959.04",4.9807E-14
"1959.05",4.8811E-14
"1959.06",5.0145E-14
"1959.07",5.4425E-14
"1959.08",5.5818E-14
"1959.09",5.5818E-14
"1959.10",5.8780E-14
"1959.11",6.4473E-14
"1959.12",6.6945E-14
"1960.01",6.9062E-14
"1960.02",6.7727E-14
"1960.03",6.7636E-14
"1960.04",6.7636E-14
"1960.05",6.7636E-14
"1960.06",6.7636E-14
"1960.07",6.7636E-14
"1960.08",6.7636E-14
"1960.09",6.7636E-14
"1960.10",6.7636E-14
"1960.11",6.7636E-14
"1960.12",6.8164E-14
"1961.01",7.6189E-14
"1961.02",8.0000E-14
"1961.03",8.9705E-14
"1961.04",1.0263E-13
"1961.05",9.8218E-14
"1961.06",9.5673E-14
"1961.07",9.6000E-14
"1961.08",9.8451E-14
"1961.09",1.0668E-13
"1961.10",1.1049E-13
"1961.11",1.1164E-13
"1961.12",1.1164E-13
"1962.01",1.1564E-13
"1962.02",1.1564E-13
"1962.03",1.1564E-13
"1962.04",1.1564E-13
"1962.05",1.2145E-13
"1962.06",1.3055E-13
"1962.07",1.3345E-13
"1962.08",1.4255E-13
"1962.09",1.6836E-13
"1962.10",1.7273E-13
"1962.11",1.7273E-13
"1962.12",1.7273E-13
"1963.01",1.7273E-13
"1963.02",1.7273E-13
"1963.03",1.7273E-13
"1963.04",1.8764E-13
"1963.05",2.2545E-13
"1963.06",2.2545E-13
"1963.07",2.2545E-13
"1963.08",2.2545E-13
"1963.09",2.2545E-13
"1963.10",2.2545E-13
"1963.11",2.2545E-13
"1963.12",2.2545E-13
"1964.01",2.2545E-13
"1964.02",4.2873E-13
"1964.03",4.2873E-13
"1964.04",4.3636E-13
"1964.05",4.3636E-13
"1964.06",4.3636E-13
"1964.07",4.3636E-13
"1964.08",4.4873E-13
"1964.09",5.7782E-13
"1964.10",5.8545E-13
"1964.11",5.8545E-13
"1964.12",6.0218E-13
"1965.01",6.7273E-13
"1965.02",6.7273E-13
"1965.03",6.7273E-13
"1965.04",6.7273E-13
"1965.05",6.7273E-13
"1965.06",6.7273E-13
"1965.07",6.7273E-13
"1965.08",6.7273E-13
"1965.09",6.7273E-13
"1965.10",6.7273E-13
"1965.11",7.5055E-13
"1965.12",8.0727E-13
"1966.01",8.0727E-13
"1966.02",8.0727E-13
"1966.03",8.0727E-13
"1966.04",8.0727E-13
"1966.05",8.0727E-13
"1966.06",8.0727E-13
"1966.07",8.0727E-13
"1966.08",8.0727E-13
"1966.09",8.0727E-13
"1966.10",8.0727E-13
"1966.11",8.0727E-13
"1966.12",8.0727E-13
"1967.01",8.0727E-13
"1967.02",9.8727E-13
"1967.03",9.8727E-13
"1967.04",9.8727E-13
"1967.05",9.8727E-13
"1967.06",9.8727E-13
"1967.07",9.8727E-13
"1967.08",9.8727E-13
"1967.09",9.8727E-13
"1967.10",9.8727E-13
"1967.11",9.8727E-13
"1967.12",9.8727E-13
"1968.01",1.1709E-12
"1968.02",1.1709E-12
"1968.03",1.1709E-12
"1968.04",1.1709E-12
"1968.05",1.1709E-12
"1968.06",1.1709E-12
"1968.07",1.1709E-12
"1968.08",1.2000E-12
"1968.09",1.3313E-12
"1968.10",1.3455E-12
"1968.11",1.3571E-12
"1968.12",1.3884E-12
"1969.01",1.3927E-12
"1969.02",1.4200E-12
"1969.03",1.4422E-12
"1969.04",1.4545E-12
"1969.05",1.4640E-12
"1969.06",1.4727E-12
"1969.07",1.4876E-12
"1969.08",1.4935E-12
"1969.09",1.5091E-12
"1969.10",1.5291E-12
"1969.11",1.5469E-12
"1969.12",1.5684E-12
"1970.01",1.5818E-12
"1970.02",1.6011E-12
"1970.03",1.6073E-12
"1970.04",1.6327E-12
"1970.05",1.6436E-12
"1970.06",1.6582E-12
"1970.07",1.6760E-12
"1970.08",1.6909E-12
"1970.09",1.7018E-12
"1970.10",1.7164E-12
"1970.11",1.7564E-12
"1970.12",1.7782E-12
"1971.01",1.8000E-12
"1971.02",1.8182E-12
"1971.03",1.8393E-12
"1971.04",1.8582E-12
"1971.05",1.8891E-12
"1971.06",1.9109E-12
"1971.07",1.9218E-12
"1971.08",1.9593E-12
"1971.09",1.9902E-12
"1971.10",2.0018E-12
"1971.11",2.0353E-12
"1971.12",2.0491E-12
"1972.01",2.0549E-12
"1972.02",2.1036E-12
"1972.03",2.1138E-12
"1972.04",2.1255E-12
"1972.05",2.1462E-12
"1972.06",2.1509E-12
"1972.07",2.1611E-12
"1972.08",2.1691E-12
"1972.09",2.1887E-12
"1972.10",2.2036E-12
"1972.11",2.2255E-12
"1972.12",2.2509E-12
"1973.01",2.2600E-12
"1973.02",2.2211E-12
"1973.03",2.1927E-12
"1973.04",2.1993E-12
"1973.05",2.2182E-12
"1973.06",2.2182E-12
"1973.07",2.2265E-12
"1973.08",2.2291E-12
"1973.09",2.2331E-12
"1973.10",2.2400E-12
"1973.11",2.2400E-12
"1973.12",2.2524E-12
"1974.01",2.2618E-12
"1974.02",2.3171E-12
"1974.03",2.3473E-12
"1974.04",2.3673E-12
"1974.05",2.3055E-12
"1974.06",2.4345E-12
"1974.07",2.4971E-12
"1974.08",2.5305E-12
"1974.09",2.5698E-12
"1974.10",2.5985E-12
"1974.11",2.6425E-12
"1974.12",2.6767E-12
"1975.01",2.7113E-12
"1975.02",2.7553E-12
"1975.03",2.7862E-12
"1975.04",2.8375E-12
"1975.05",2.8811E-12
"1975.06",2.9051E-12
"1975.07",2.9516E-12
"1975.08",3.0138E-12
"1975.09",3.0560E-12
"1975.10",3.1102E-12
"1975.11",3.1865E-12
"1975.12",3.2673E-12
"1976.01",3.3225E-12
"1976.02",3.3902E-12
"1976.03",3.4902E-12
"1976.04",3.6851E-12
"1976.05",3.7884E-12
"1976.06",3.8796E-12
"1976.07",3.9425E-12
"1976.08",4.0193E-12
"1976.09",4.1138E-12
"1976.10",4.2015E-12
"1976.11",4.3182E-12
"1976.12",4.4218E-12
"1977.01",4.5316E-12
"1977.02",4.6178E-12
"1977.03",4.7284E-12
"1977.04",4.8538E-12
"1977.05",4.9811E-12
"1977.06",5.1091E-12
"1977.07",5.2436E-12
"1977.08",5.3418E-12
"1977.09",5.4291E-12
"1977.10",5.5058E-12
"1977.11",5.6065E-12
"1977.12",5.7705E-12
"1978.01",5.8596E-12
"1978.02",5.9487E-12
"1978.03",6.0698E-12
"1978.04",6.1804E-12
"1978.05",6.3338E-12
"1978.06",6.4745E-12
"1978.07",6.5891E-12
"1978.08",6.7633E-12
"1978.09",6.9273E-12
"1978.10",7.0324E-12
"1978.11",7.2091E-12
"1978.12",7.4618E-12
"1979.01",7.7185E-12
"1979.02",7.9793E-12
"1979.03",8.2356E-12
"1979.04",8.5120E-12
"1979.05",8.9404E-12
"1979.06",9.3291E-12
"1979.07",9.4964E-12
"1979.08",9.8145E-12
"1979.09",1.0470E-11
"1979.10",1.0967E-11
"1979.11",1.1473E-11
"1979.12",1.4644E-11
"1980.01",1.5870E-11
"1980.02",1.6313E-11
"1980.03",1.6915E-11
"1980.04",1.7572E-11
"1980.05",1.8105E-11
"1980.06",1.8677E-11
"1980.07",1.9217E-11
"1980.08",1.9871E-11
"1980.09",2.0585E-11
"1980.10",2.1376E-11
"1980.11",2.2299E-11
"1980.12",2.3226E-11
"1981.01",2.4553E-11
"1981.02",2.5640E-11
"1981.03",2.7044E-11
"1981.04",2.8714E-11
"1981.05",3.0560E-11
"1981.06",3.2245E-11
"1981.07",3.4167E-11
"1981.08",3.6335E-11
"1981.09",3.8285E-11
"1981.10",4.0533E-11
"1981.11",4.2893E-11
"1981.12",4.5393E-11
"1982.01",4.7713E-11
"1982.02",4.9993E-11
"1982.03",5.2697E-11
"1982.04",5.5356E-11
"1982.05",5.8175E-11
"1982.06",6.1213E-11
"1982.07",6.4638E-11
"1982.08",6.8766E-11
"1982.09",7.3487E-11
"1982.10",7.8433E-11
"1982.11",8.3620E-11
"1982.12",8.9246E-11
"1983.01",9.5708E-11
"1983.02",1.1474E-10
"1983.03",1.4566E-10
"1983.04",1.5828E-10
"1983.05",1.7259E-10
"1983.06",1.8828E-10
"1983.07",2.0741E-10
"1983.08",2.3394E-10
"1983.09",2.5505E-10
"1983.10",2.8556E-10
"1983.11",3.1675E-10
"1983.12",3.4405E-10
"1984.01",3.7129E-10
"1984.02",4.1119E-10
"1984.03",4.6189E-10
"1984.04",5.0465E-10
"1984.05",5.4936E-10
"1984.06",5.9809E-10
"1984.07",6.6036E-10
"1984.08",7.2520E-10
"1984.09",8.0144E-10
"1984.10",8.9228E-10
"1984.11",9.9436E-10
"1984.12",1.0940E-09
"1985.01",1.2232E-09
"1985.02",1.3688E-09
"1985.03",1.5129E-09
"1985.04",1.7156E-09
"1985.05",1.9041E-09
"1985.06",2.0880E-09
"1985.07",2.2618E-09
"1985.08",2.4405E-09
"1985.09",2.7133E-09
"1985.10",2.9769E-09
"1985.11",3.2467E-09
"1985.12",3.6044E-09
"1986.01",4.1127E-09
"1986.02",4.7378E-09
"1986.03",5.0327E-09
"1986.04",5.0327E-09
"1986.05",5.0327E-09
"1986.06",5.0327E-09
"1986.07",5.0327E-09
"1986.08",5.0327E-09
"1986.09",5.0327E-09
"1986.10",5.0800E-09
"1986.11",5.1298E-09
"1986.12",5.2895E-09
"1987.01",5.7084E-09
"1987.02",6.5949E-09
"1987.03",7.6385E-09
"1987.04",8.6207E-09
"1987.05",1.1193E-08
"1987.06",1.4342E-08
"1987.07",1.6340E-08
"1987.08",1.7138E-08
"1987.09",1.8133E-08
"1987.10",1.9421E-08
"1987.11",2.1560E-08
"1987.12",2.4539E-08
"1988.01",2.8238E-08
"1988.02",3.3033E-08
"1988.03",3.8959E-08
"1988.04",4.5704E-08
